"Anno accademico","Ateneo","Classe","Immatricolati","Area","Città","Provincia","Regione","Area geografica","Tipo","Fondazione"
"2003/2004","Seconda Università degli Studi di NAPOLI","15 - Scienze politiche e delle relazioni internazionali",10,"Sociale","Napoli","Napoli","Campania","Sud","Pubblica",1991
"2003/2004","Seconda Università degli Studi di NAPOLI","17 - Scienze dell'economia e della gestione aziendale",338,"Sociale","Napoli","Napoli","Campania","Sud","Pubblica",1991
"2003/2004","Seconda Università degli Studi di NAPOLI","2 - Scienze dei servizi giuridici",19,"Sociale","Napoli","Napoli","Campania","Sud","Pubblica",1991
"2003/2004","Seconda Università degli Studi di NAPOLI","24 - Scienze e tecnologie farmaceutiche",6,"Sanitaria","Napoli","Napoli","Campania","Sud","Pubblica",1991
"2003/2004","Seconda Università degli Studi di NAPOLI","27 - Scienze e tecnologie per l'ambiente e la natura",58,"Scientifica","Napoli","Napoli","Campania","Sud","Pubblica",1991
"2003/2004","Seconda Università degli Studi di NAPOLI","28 - Scienze economiche",132,"Sociale","Napoli","Napoli","Campania","Sud","Pubblica",1991
"2003/2004","Seconda Università degli Studi di NAPOLI","31 - Scienze giuridiche",835,"Sociale","Napoli","Napoli","Campania","Sud","Pubblica",1991
"2003/2004","Seconda Università degli Studi di NAPOLI","32 - Scienze matematiche",85,"Scientifica","Napoli","Napoli","Campania","Sud","Pubblica",1991
"2003/2004","Seconda Università degli Studi di NAPOLI","34 - Scienze e tecniche psicologiche",494,"Sociale","Napoli","Napoli","Campania","Sud","Pubblica",1991
"2003/2004","Seconda Università degli Studi di NAPOLI","39 - Scienze del turismo",164,"Sociale","Napoli","Napoli","Campania","Sud","Pubblica",1991
"2003/2004","Seconda Università degli Studi di NAPOLI","4 - Scienze dell'architettura e dell'ingegneria edile",102,"Scientifica","Napoli","Napoli","Campania","Sud","Pubblica",1991
"2003/2004","Seconda Università degli Studi di NAPOLI","4/S - Specialistiche in architettura e ingegneria edile",96,"Scientifica","Napoli","Napoli","Campania","Sud","Pubblica",1991
"2003/2004","Seconda Università degli Studi di NAPOLI","42 - Disegno industriale",146,"Scientifica","Napoli","Napoli","Campania","Sud","Pubblica",1991
"2003/2004","Seconda Università degli Studi di NAPOLI","46/S - Specialistiche in medicina e chirurgia",190,"Sanitaria","Napoli","Napoli","Campania","Sud","Pubblica",1991
"2003/2004","Seconda Università degli Studi di NAPOLI","52/S - Specialistiche in odontoiatria e protesi dentaria",12,"Sanitaria","Napoli","Napoli","Campania","Sud","Pubblica",1991
"2003/2004","Seconda Università degli Studi di NAPOLI","8 - Ingegneria civile e ambientale",148,"Scientifica","Napoli","Napoli","Campania","Sud","Pubblica",1991
"2003/2004","Seconda Università degli Studi di NAPOLI","9 - Ingegneria dell'informazione",201,"Scientifica","Napoli","Napoli","Campania","Sud","Pubblica",1991
"2003/2004","Seconda Università degli Studi di NAPOLI","SNT/1 - Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",311,"Sanitaria","Napoli","Napoli","Campania","Sud","Pubblica",1991
"2003/2004","Seconda Università degli Studi di NAPOLI","SNT/2 - Professioni sanitarie della riabilitazione",114,"Sanitaria","Napoli","Napoli","Campania","Sud","Pubblica",1991
"2003/2004","Seconda Università degli Studi di NAPOLI","SNT/3 - Professioni sanitarie tecniche",81,"Sanitaria","Napoli","Napoli","Campania","Sud","Pubblica",1991
"2003/2004","Universita' degli Studi di Roma Foro Italico","33 - Scienze delle attivita motorie e sportive",178,"Scientifica","Roma","Roma","Lazio","Centro","Pubblica",1998
"2003/2004","Università Campus Bio-Medico ROMA","10 - Ingegneria industriale",49,"Scientifica","Roma","Roma","Lazio","Centro","Privata",1991
"2003/2004","Università Campus Bio-Medico ROMA","46/S - Specialistiche in medicina e chirurgia",61,"Sanitaria","Roma","Roma","Lazio","Centro","Privata",1991
"2003/2004","Università Campus Bio-Medico ROMA","SNT/1 - Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",36,"Sanitaria","Roma","Roma","Lazio","Centro","Privata",1991
"2003/2004","Università Campus Bio-Medico ROMA","SNT/3 - Professioni sanitarie tecniche",17,"Sanitaria","Roma","Roma","Lazio","Centro","Privata",1991
"2003/2004","Università Carlo Cattaneo - LIUC","10 - Ingegneria industriale",70,"Scientifica","Castellanza","Varese","Lombardia","Nord","Privata",1991
"2003/2004","Università Carlo Cattaneo - LIUC","17 - Scienze dell'economia e della gestione aziendale",241,"Sociale","Castellanza","Varese","Lombardia","Nord","Privata",1991
"2003/2004","Università Carlo Cattaneo - LIUC","31 - Scienze giuridiche",110,"Sociale","Castellanza","Varese","Lombardia","Nord","Privata",1991
"2003/2004","Università Cà Foscari di VENEZIA","11 - Lingue e culture moderne",679,"Umanistica","Venezia","Venezia","Veneto","Nord","Pubblica",1868
"2003/2004","Università Cà Foscari di VENEZIA","13 - Scienze dei beni culturali",266,"Umanistica","Venezia","Venezia","Veneto","Nord","Pubblica",1868
"2003/2004","Università Cà Foscari di VENEZIA","17 - Scienze dell'economia e della gestione aziendale",1015,"Sociale","Venezia","Venezia","Veneto","Nord","Pubblica",1868
"2003/2004","Università Cà Foscari di VENEZIA","21 - Scienze e tecnologie chimiche",96,"Scientifica","Venezia","Venezia","Veneto","Nord","Pubblica",1868
"2003/2004","Università Cà Foscari di VENEZIA","23 - Scienze e tecnologie delle arti figurative, della musica, dello spettacolo e della moda",101,"Umanistica","Venezia","Venezia","Veneto","Nord","Pubblica",1868
"2003/2004","Università Cà Foscari di VENEZIA","26 - Scienze e tecnologie informatiche",174,"Scientifica","Venezia","Venezia","Veneto","Nord","Pubblica",1868
"2003/2004","Università Cà Foscari di VENEZIA","27 - Scienze e tecnologie per l'ambiente e la natura",61,"Scientifica","Venezia","Venezia","Veneto","Nord","Pubblica",1868
"2003/2004","Università Cà Foscari di VENEZIA","28 - Scienze economiche",291,"Sociale","Venezia","Venezia","Veneto","Nord","Pubblica",1868
"2003/2004","Università Cà Foscari di VENEZIA","29 - Filosofia",75,"Umanistica","Venezia","Venezia","Veneto","Nord","Pubblica",1868
"2003/2004","Università Cà Foscari di VENEZIA","3 - Scienze della mediazione linguistica",53,"Umanistica","Venezia","Venezia","Veneto","Nord","Pubblica",1868
"2003/2004","Università Cà Foscari di VENEZIA","37 - Scienze statistiche",62,"Scientifica","Venezia","Venezia","Veneto","Nord","Pubblica",1868
"2003/2004","Università Cà Foscari di VENEZIA","38 - Scienze storiche",70,"Umanistica","Venezia","Venezia","Veneto","Nord","Pubblica",1868
"2003/2004","Università Cà Foscari di VENEZIA","5 - Lettere",79,"Umanistica","Venezia","Venezia","Veneto","Nord","Pubblica",1868
"2003/2004","Università Cà Foscari di VENEZIA","6 - Scienze del servizio sociale",72,"Sociale","Venezia","Venezia","Veneto","Nord","Pubblica",1868
"2003/2004","Università Cattolica del Sacro Cuore","1 - Biotecnologie",32,"Scientifica","Milano","Milano","Lombardia","Nord","Privata",1921
"2003/2004","Università Cattolica del Sacro Cuore","11 - Lingue e culture moderne",95,"Umanistica","Milano","Milano","Lombardia","Nord","Privata",1921
"2003/2004","Università Cattolica del Sacro Cuore","13 - Scienze dei beni culturali",155,"Umanistica","Milano","Milano","Lombardia","Nord","Privata",1921
"2003/2004","Università Cattolica del Sacro Cuore","14 - Scienze della comunicazione",407,"Sociale","Milano","Milano","Lombardia","Nord","Privata",1921
"2003/2004","Università Cattolica del Sacro Cuore","15 - Scienze politiche e delle relazioni internazionali",191,"Sociale","Milano","Milano","Lombardia","Nord","Privata",1921
"2003/2004","Università Cattolica del Sacro Cuore","17 - Scienze dell'economia e della gestione aziendale",1337,"Sociale","Milano","Milano","Lombardia","Nord","Privata",1921
"2003/2004","Università Cattolica del Sacro Cuore","18 - Scienze dell'educazione e della formazione",883,"Umanistica","Milano","Milano","Lombardia","Nord","Privata",1921
"2003/2004","Università Cattolica del Sacro Cuore","20 - Scienze e tecnologie agrarie, agroalimentari e forestali",153,"Scientifica","Milano","Milano","Lombardia","Nord","Privata",1921
"2003/2004","Università Cattolica del Sacro Cuore","23 - Scienze e tecnologie delle arti figurative, della musica, dello spettacolo e della moda",90,"Umanistica","Milano","Milano","Lombardia","Nord","Privata",1921
"2003/2004","Università Cattolica del Sacro Cuore","25 - Scienze e tecnologie fisiche",15,"Scientifica","Milano","Milano","Lombardia","Nord","Privata",1921
"2003/2004","Università Cattolica del Sacro Cuore","26 - Scienze e tecnologie informatiche",19,"Scientifica","Milano","Milano","Lombardia","Nord","Privata",1921
"2003/2004","Università Cattolica del Sacro Cuore","28 - Scienze economiche",207,"Sociale","Milano","Milano","Lombardia","Nord","Privata",1921
"2003/2004","Università Cattolica del Sacro Cuore","29 - Filosofia",96,"Umanistica","Milano","Milano","Lombardia","Nord","Privata",1921
"2003/2004","Università Cattolica del Sacro Cuore","3 - Scienze della mediazione linguistica",801,"Umanistica","Milano","Milano","Lombardia","Nord","Privata",1921
"2003/2004","Università Cattolica del Sacro Cuore","31 - Scienze giuridiche",790,"Sociale","Milano","Milano","Lombardia","Nord","Privata",1921
"2003/2004","Università Cattolica del Sacro Cuore","32 - Scienze matematiche",15,"Scientifica","Milano","Milano","Lombardia","Nord","Privata",1921
"2003/2004","Università Cattolica del Sacro Cuore","33 - Scienze delle attivita motorie e sportive",178,"Scientifica","Milano","Milano","Lombardia","Nord","Privata",1921
"2003/2004","Università Cattolica del Sacro Cuore","34 - Scienze e tecniche psicologiche",295,"Sociale","Milano","Milano","Lombardia","Nord","Privata",1921
"2003/2004","Università Cattolica del Sacro Cuore","36 - Scienze sociologiche",127,"Sociale","Milano","Milano","Lombardia","Nord","Privata",1921
"2003/2004","Università Cattolica del Sacro Cuore","37 - Scienze statistiche",20,"Scientifica","Milano","Milano","Lombardia","Nord","Privata",1921
"2003/2004","Università Cattolica del Sacro Cuore","38 - Scienze storiche",26,"Umanistica","Milano","Milano","Lombardia","Nord","Privata",1921
"2003/2004","Università Cattolica del Sacro Cuore","39 - Scienze del turismo",53,"Sociale","Milano","Milano","Lombardia","Nord","Privata",1921
"2003/2004","Università Cattolica del Sacro Cuore","46/S - Specialistiche in medicina e chirurgia",173,"Sanitaria","Milano","Milano","Lombardia","Nord","Privata",1921
"2003/2004","Università Cattolica del Sacro Cuore","5 - Lettere",219,"Umanistica","Milano","Milano","Lombardia","Nord","Privata",1921
"2003/2004","Università Cattolica del Sacro Cuore","52/S - Specialistiche in odontoiatria e protesi dentaria",17,"Sanitaria","Milano","Milano","Lombardia","Nord","Privata",1921
"2003/2004","Università Cattolica del Sacro Cuore","6 - Scienze del servizio sociale",94,"Sociale","Milano","Milano","Lombardia","Nord","Privata",1921
"2003/2004","Università Cattolica del Sacro Cuore","SNT/1 - Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",368,"Sanitaria","Milano","Milano","Lombardia","Nord","Privata",1921
"2003/2004","Università Cattolica del Sacro Cuore","SNT/2 - Professioni sanitarie della riabilitazione",143,"Sanitaria","Milano","Milano","Lombardia","Nord","Privata",1921
"2003/2004","Università Cattolica del Sacro Cuore","SNT/3 - Professioni sanitarie tecniche",147,"Sanitaria","Milano","Milano","Lombardia","Nord","Privata",1921
"2003/2004","Università Cattolica del Sacro Cuore","SNT/4 - Professioni sanitarie della prevenzione",60,"Sanitaria","Milano","Milano","Lombardia","Nord","Privata",1921
"2003/2004","Università Commerciale Luigi Bocconi MILANO","17 - Scienze dell'economia e della gestione aziendale",1796,"Sociale","Milano","Milano","Lombardia","Nord","Privata",1902
"2003/2004","Università Commerciale Luigi Bocconi MILANO","28 - Scienze economiche",394,"Sociale","Milano","Milano","Lombardia","Nord","Privata",1902
"2003/2004","Università Commerciale Luigi Bocconi MILANO","31 - Scienze giuridiche",266,"Sociale","Milano","Milano","Lombardia","Nord","Privata",1902
"2003/2004","Università IUAV di VENEZIA","23 - Scienze e tecnologie delle arti figurative, della musica, dello spettacolo e della moda",100,"Umanistica","Venezia","Venezia","Veneto","Nord","Pubblica",1926
"2003/2004","Università IUAV di VENEZIA","4 - Scienze dell'architettura e dell'ingegneria edile",595,"Scientifica","Venezia","Venezia","Veneto","Nord","Pubblica",1926
"2003/2004","Università IUAV di VENEZIA","42 - Disegno industriale",115,"Scientifica","Venezia","Venezia","Veneto","Nord","Pubblica",1926
"2003/2004","Università IUAV di VENEZIA","7 - Urbanistica e scienze della pianificazione territoriale e ambientale",90,"Scientifica","Venezia","Venezia","Veneto","Nord","Pubblica",1926
"2003/2004","Università Mediterranea Jean Monnet","17 - Scienze dell'economia e della gestione aziendale",140,"Sociale","Casamassima","Bari","Puglia","Sud","Privata",1995
"2003/2004","Università Mediterranea Jean Monnet","31 - Scienze giuridiche",44,"Sociale","Casamassima","Bari","Puglia","Sud","Privata",1995
"2003/2004","Università Politecnica delle MARCHE","10 - Ingegneria industriale",380,"Scientifica","Ancona","Ancona","Marche","Centro","Pubblica",1959
"2003/2004","Università Politecnica delle MARCHE","12 - Scienze biologiche",271,"Scientifica","Ancona","Ancona","Marche","Centro","Pubblica",1959
"2003/2004","Università Politecnica delle MARCHE","17 - Scienze dell'economia e della gestione aziendale",490,"Sociale","Ancona","Ancona","Marche","Centro","Pubblica",1959
"2003/2004","Università Politecnica delle MARCHE","20 - Scienze e tecnologie agrarie, agroalimentari e forestali",134,"Scientifica","Ancona","Ancona","Marche","Centro","Pubblica",1959
"2003/2004","Università Politecnica delle MARCHE","27 - Scienze e tecnologie per l'ambiente e la natura",34,"Scientifica","Ancona","Ancona","Marche","Centro","Pubblica",1959
"2003/2004","Università Politecnica delle MARCHE","28 - Scienze economiche",191,"Sociale","Ancona","Ancona","Marche","Centro","Pubblica",1959
"2003/2004","Università Politecnica delle MARCHE","4 - Scienze dell'architettura e dell'ingegneria edile",81,"Scientifica","Ancona","Ancona","Marche","Centro","Pubblica",1959
"2003/2004","Università Politecnica delle MARCHE","4/S - Specialistiche in architettura e ingegneria edile",106,"Scientifica","Ancona","Ancona","Marche","Centro","Pubblica",1959
"2003/2004","Università Politecnica delle MARCHE","46/S - Specialistiche in medicina e chirurgia",55,"Sanitaria","Ancona","Ancona","Marche","Centro","Pubblica",1959
"2003/2004","Università Politecnica delle MARCHE","52/S - Specialistiche in odontoiatria e protesi dentaria",6,"Sanitaria","Ancona","Ancona","Marche","Centro","Pubblica",1959
"2003/2004","Università Politecnica delle MARCHE","6 - Scienze del servizio sociale",73,"Sociale","Ancona","Ancona","Marche","Centro","Pubblica",1959
"2003/2004","Università Politecnica delle MARCHE","8 - Ingegneria civile e ambientale",171,"Scientifica","Ancona","Ancona","Marche","Centro","Pubblica",1959
"2003/2004","Università Politecnica delle MARCHE","9 - Ingegneria dell'informazione",375,"Scientifica","Ancona","Ancona","Marche","Centro","Pubblica",1959
"2003/2004","Università Politecnica delle MARCHE","SNT/1 - Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",282,"Sanitaria","Ancona","Ancona","Marche","Centro","Pubblica",1959
"2003/2004","Università Politecnica delle MARCHE","SNT/2 - Professioni sanitarie della riabilitazione",18,"Sanitaria","Ancona","Ancona","Marche","Centro","Pubblica",1959
"2003/2004","Università Politecnica delle MARCHE","SNT/3 - Professioni sanitarie tecniche",27,"Sanitaria","Ancona","Ancona","Marche","Centro","Pubblica",1959
"2003/2004","Università degli Studi G. d'Annunzio CHIETI-PESCARA","11 - Lingue e culture moderne",181,"Umanistica","Chieti - Pescara","Chieti - Pescara","Abruzzo","Sud","Pubblica",1960
"2003/2004","Università degli Studi G. d'Annunzio CHIETI-PESCARA","13 - Scienze dei beni culturali",94,"Umanistica","Chieti - Pescara","Chieti - Pescara","Abruzzo","Sud","Pubblica",1960
"2003/2004","Università degli Studi G. d'Annunzio CHIETI-PESCARA","14/S - Specialistiche in farmacia e farmacia industriale",469,"Sanitaria","Chieti - Pescara","Chieti - Pescara","Abruzzo","Sud","Pubblica",1960
"2003/2004","Università degli Studi G. d'Annunzio CHIETI-PESCARA","16 - Scienze della Terra",84,"Scientifica","Chieti - Pescara","Chieti - Pescara","Abruzzo","Sud","Pubblica",1960
"2003/2004","Università degli Studi G. d'Annunzio CHIETI-PESCARA","17 - Scienze dell'economia e della gestione aziendale",2032,"Sociale","Chieti - Pescara","Chieti - Pescara","Abruzzo","Sud","Pubblica",1960
"2003/2004","Università degli Studi G. d'Annunzio CHIETI-PESCARA","18 - Scienze dell'educazione e della formazione",126,"Umanistica","Chieti - Pescara","Chieti - Pescara","Abruzzo","Sud","Pubblica",1960
"2003/2004","Università degli Studi G. d'Annunzio CHIETI-PESCARA","2 - Scienze dei servizi giuridici",109,"Sociale","Chieti - Pescara","Chieti - Pescara","Abruzzo","Sud","Pubblica",1960
"2003/2004","Università degli Studi G. d'Annunzio CHIETI-PESCARA","28 - Scienze economiche",251,"Sociale","Chieti - Pescara","Chieti - Pescara","Abruzzo","Sud","Pubblica",1960
"2003/2004","Università degli Studi G. d'Annunzio CHIETI-PESCARA","29 - Filosofia",57,"Umanistica","Chieti - Pescara","Chieti - Pescara","Abruzzo","Sud","Pubblica",1960
"2003/2004","Università degli Studi G. d'Annunzio CHIETI-PESCARA","3 - Scienze della mediazione linguistica",240,"Umanistica","Chieti - Pescara","Chieti - Pescara","Abruzzo","Sud","Pubblica",1960
"2003/2004","Università degli Studi G. d'Annunzio CHIETI-PESCARA","30 - Scienze geografiche",27,"Umanistica","Chieti - Pescara","Chieti - Pescara","Abruzzo","Sud","Pubblica",1960
"2003/2004","Università degli Studi G. d'Annunzio CHIETI-PESCARA","33 - Scienze delle attivita motorie e sportive",389,"Scientifica","Chieti - Pescara","Chieti - Pescara","Abruzzo","Sud","Pubblica",1960
"2003/2004","Università degli Studi G. d'Annunzio CHIETI-PESCARA","34 - Scienze e tecniche psicologiche",505,"Sociale","Chieti - Pescara","Chieti - Pescara","Abruzzo","Sud","Pubblica",1960
"2003/2004","Università degli Studi G. d'Annunzio CHIETI-PESCARA","36 - Scienze sociologiche",164,"Sociale","Chieti - Pescara","Chieti - Pescara","Abruzzo","Sud","Pubblica",1960
"2003/2004","Università degli Studi G. d'Annunzio CHIETI-PESCARA","38 - Scienze storiche",36,"Umanistica","Chieti - Pescara","Chieti - Pescara","Abruzzo","Sud","Pubblica",1960
"2003/2004","Università degli Studi G. d'Annunzio CHIETI-PESCARA","4 - Scienze dell'architettura e dell'ingegneria edile",271,"Scientifica","Chieti - Pescara","Chieti - Pescara","Abruzzo","Sud","Pubblica",1960
